Order_ID,Date,State,City,Model,Units_Sold,Unit_Price_INR,Discount_INR,Revenue_INR,Sales_Channel,Payment_Mode,Customer_Age,Customer_Gender,Customer_Rating
OE100001,2023-01-01,Bihar,Patna,S1 Air,1,84999,0,84999,Online (Ola App),EMI - NBFC,19,Male,4.2
OE100002,2023-01-01,Punjab,Chandigarh,S1 Pro+,1,159999,0,159999,Company Owned Store,Subvention Scheme,42,Male,3.0
OE100003,2023-01-01,Karnataka,Mysuru,S1 Pro,1,147999,0,147999,Online (Ola App),Full Payment,35,Male,4.1
OE100004,2023-01-01,Karnataka,Mysuru,S1 X (3kWh),1,99999,0,99999,Company Owned Store,EMI - NBFC,22,Female,2.9
OE100005,2023-01-01,Karnataka,Mangaluru,S1 Pro+,1,159999,0,159999,Company Owned Store,EMI - Bank Loan,25,Female,3.3
OE100006,2023-01-01,Tamil Nadu,Coimbatore,S1 Pro+,1,159999,0,159999,Company Owned Store,Full Payment,29,Male,4.2
OE100007,2023-01-01,Delhi,Rohini,S1 Pro,1,147999,0,147999,Ola Experience Center,Full Payment,29,Female,3.7
OE100008,2023-01-01,Telangana,Warangal,S1 X (3kWh),1,99999,0,99999,Ola Experience Center,EMI - NBFC,37,Male,3.3
OE100009,2023-01-01,Karnataka,Mangaluru,S1 Air,1,84999,0,84999,Online (Ola App),EMI - NBFC,23,Male,5.0
OE100010,2023-01-01,Uttar Pradesh,Noida,S1 X (3kWh),1,99999,0,99999,Online (Ola App),EMI - Bank Loan,35,Male,3.7
OE100021,2023-01-02,Karnataka,Mysuru,S1 X (2kWh),1,79999,0,79999,Online (Ola App),Subvention Scheme,36,Male,4.9
OE100020,2023-01-02,Tamil Nadu,Chennai,S1 X (3kWh),1,99999,0,99999,Ola Experience Center,EMI - NBFC,18,Male,4.5
OE100019,2023-01-02,Tamil Nadu,Coimbatore,S1 Pro+,1,159999,8000,151999,Company Owned Store,EMI - Bank Loan,31,Male,4.3
OE100018,2023-01-02,Maharashtra,Nagpur,S1 Pro,1,147999,2000,145999,Online (Ola App),Subvention Scheme,41,Male,4.6
OE100017,2023-01-02,Gujarat,Vadodara,S1 Pro,1,147999,2000,145999,Online (Ola App),Full Payment,39,Male,4.4
OE100015,2023-01-02,Madhya Pradesh,Indore,S1 Air,1,84999,0,84999,Company Owned Store,EMI - Bank Loan,20,Male,4.6
OE100014,2023-01-02,Tamil Nadu,Madurai,S1 Pro,1,147999,0,147999,Online (Ola App),EMI - NBFC,35,Male,3.9
OE100013,2023-01-02,Maharashtra,Mumbai,S1 X (2kWh),1,79999,0,79999,Dealer Partner,Full Payment,38,Male,4.9
OE100012,2023-01-02,Tamil Nadu,Chennai,S1 Air,1,84999,0,84999,Ola Experience Center,EMI - NBFC,31,Male,3.9
OE100011,2023-01-02,Haryana,Gurugram,S1 X (3kWh),1,99999,0,99999,Company Owned Store,Subvention Scheme,18,Male,4.3
OE100016,2023-01-02,Karnataka,Bengaluru,S1 X (3kWh),1,99999,0,99999,Ola Experience Center,EMI - NBFC,19,Male,4.3
OE100022,2023-01-03,Madhya Pradesh,Bhopal,S1 X+ (4kWh),1,139999,8000,131999,Company Owned Store,Full Payment,18,Male,4.1
OE100023,2023-01-03,Bihar,Patna,S1 X (3kWh),1,99999,2000,97999,Company Owned Store,Full Payment,44,Male,3.5
OE100024,2023-01-03,Madhya Pradesh,Indore,S1 Pro+,1,159999,0,159999,Ola Experience Center,EMI - Bank Loan,26,Female,4.7
OE100025,2023-01-03,Tamil Nadu,Chennai,S1 X+ (4kWh),2,139999,0,279998,Ola Experience Center,Full Payment,25,Male,4.1
OE100026,2023-01-03,Maharashtra,Nagpur,S1 X (3kWh),1,99999,0,99999,Online (Ola App),Full Payment,18,Male,5.0
OE100027,2023-01-03,Madhya Pradesh,Indore,S1 Pro+,1,159999,0,159999,Company Owned Store,EMI - Bank Loan,27,Male,4.8
OE100028,2023-01-03,Telangana,Warangal,S1 X+ (4kWh),1,139999,0,139999,Online (Ola App),EMI - Bank Loan,39,Female,5.0
OE100033,2023-01-04,Karnataka,Bengaluru,S1 X (3kWh),1,99999,0,99999,Online (Ola App),Subvention Scheme,33,Male,3.9
OE100032,2023-01-04,Telangana,Hyderabad,S1 Air,1,84999,0,84999,Company Owned Store,EMI - Bank Loan,37,Male,4.3
OE100034,2023-01-04,Maharashtra,Pune,S1 Pro,1,147999,0,147999,Online (Ola App),EMI - NBFC,30,Male,4.5
OE100030,2023-01-04,Punjab,Amritsar,S1 X (3kWh),2,99999,2000,195998,Company Owned Store,Full Payment,48,Male,4.1
OE100029,2023-01-04,Bihar,Patna,S1 X (2kWh),1,79999,0,79999,Ola Experience Center,Full Payment,41,Male,5.0
OE100031,2023-01-04,West Bengal,Siliguri,S1 Pro,1,147999,0,147999,Ola Experience Center,Full Payment,38,Male,4.2
OE100046,2023-01-05,Punjab,Amritsar,S1 Pro+,1,159999,0,159999,Online (Ola App),EMI - NBFC,44,Female,3.2
OE100045,2023-01-05,Bihar,Patna,S1 X (2kWh),1,79999,0,79999,Dealer Partner,EMI - Bank Loan,33,Male,4.7
OE100044,2023-01-05,Maharashtra,Pune,S1 X (2kWh),1,79999,0,79999,Online (Ola App),Full Payment,18,Male,3.8
OE100042,2023-01-05,Karnataka,Mangaluru,S1 Pro,1,147999,0,147999,Company Owned Store,Full Payment,25,Female,5.0
OE100041,2023-01-05,Telangana,Hyderabad,S1 Pro+,1,159999,0,159999,Company Owned Store,Subvention Scheme,32,Male,4.3
OE100043,2023-01-05,Maharashtra,Pune,S1 Pro+,1,159999,5000,154999,Ola Experience Center,Full Payment,19,Male,4.1
OE100039,2023-01-05,Delhi,Rohini,S1 Pro,1,147999,0,147999,Dealer Partner,Full Payment,31,Male,4.0
OE100038,2023-01-05,Tamil Nadu,Madurai,S1 X+ (4kWh),1,139999,5000,134999,Company Owned Store,Subvention Scheme,41,Male,3.2
OE100037,2023-01-05,Karnataka,Bengaluru,S1 Pro,1,147999,0,147999,Company Owned Store,EMI - NBFC,34,Male,3.9
OE100036,2023-01-05,Rajasthan,Jodhpur,S1 X (2kWh),1,79999,5000,74999,Company Owned Store,Subvention Scheme,35,Female,5.0
OE100035,2023-01-05,West Bengal,Kolkata,S1 X (2kWh),1,79999,8000,71999,Online (Ola App),EMI - NBFC,27,Male,3.1
OE100040,2023-01-05,Delhi,Dwarka,S1 Pro,1,147999,2000,145999,Ola Experience Center,EMI - NBFC,19,Male,3.9
OE100056,2023-01-06,Kerala,Thiruvananthapuram,S1 Pro,1,147999,0,147999,Online (Ola App),EMI - Bank Loan,27,Male,4.4
OE100061,2023-01-06,Haryana,Faridabad,S1 X (2kWh),1,79999,0,79999,Dealer Partner,EMI - Bank Loan,36,Female,3.2
OE100060,2023-01-06,Uttar Pradesh,Kanpur,S1 X (3kWh),1,99999,5000,94999,Ola Experience Center,Full Payment,33,Male,4.7
OE100062,2023-01-06,Telangana,Warangal,S1 Pro+,1,159999,0,159999,Ola Experience Center,EMI - Bank Loan,38,Male,4.8
OE100059,2023-01-06,Uttar Pradesh,Varanasi,S1 X+ (4kWh),1,139999,0,139999,Dealer Partner,EMI - NBFC,29,Male,4.0
OE100058,2023-01-06,Punjab,Ludhiana,S1 X (3kWh),1,99999,0,99999,Online (Ola App),EMI - Bank Loan,41,Male,3.0
OE100057,2023-01-06,Delhi,Rohini,S1 X (2kWh),1,79999,0,79999,Company Owned Store,Subvention Scheme,39,Female,5.0
OE100055,2023-01-06,Delhi,Dwarka,S1 X+ (4kWh),1,139999,0,139999,Ola Experience Center,Full Payment,23,Female,4.7
OE100049,2023-01-06,Karnataka,Mysuru,S1 X+ (4kWh),1,139999,5000,134999,Company Owned Store,Subvention Scheme,31,Male,3.2
OE100053,2023-01-06,Maharashtra,Pune,S1 X (3kWh),1,99999,0,99999,Company Owned Store,EMI - NBFC,33,Female,3.8
OE100052,2023-01-06,Tamil Nadu,Coimbatore,S1 X (2kWh),1,79999,2000,77999,Company Owned Store,Full Payment,53,Male,5.0
OE100051,2023-01-06,Gujarat,Vadodara,S1 Air,1,84999,0,84999,Company Owned Store,Subvention Scheme,29,Male,5.0
OE100050,2023-01-06,Gujarat,Surat,S1 X+ (4kWh),1,139999,0,139999,Online (Ola App),EMI - Bank Loan,50,Male,2.9
